,LOC100642539,LOC100642557,LOC100642571,LOC100642576,LOC100642646,LOC100642686,LOC100642694,LOC100642730,LOC100642771,LOC100643532,LOC100643590,LOC100643673,LOC100643686,LOC100643709,LOC100643792,LOC100643926,LOC100644542,LOC100644663,"LOC100644777,LOC100648533",LOC100644917,LOC100644943,LOC100645337,"LOC100645719,LOC100646150",LOC100646253,LOC100646427,LOC100646570,LOC100646731,"LOC100647027,LOC100650883",LOC100647093,LOC100647387,LOC100647436,LOC100647486,LOC100647766,LOC100648085,LOC100648089,LOC100648203,LOC100648256,"LOC100648530,LOC100648994",LOC100648627,LOC100648645,LOC100648813,LOC100648826,LOC100648830,LOC100648836,LOC100649182,LOC100649239,LOC100649251,LOC100649657,LOC100649750,LOC100649882,LOC100650055,LOC100650118,LOC100650126,LOC100650199,LOC100650419,LOC100650528,LOC100650563,LOC100650718,LOC100650881,LOC100650895,LOC100650995,LOC100651026,LOC100651065,LOC100651170,LOC100651175,LOC100651473,LOC100651572,LOC100651879,LOC100651887,LOC100651902,LOC100652002,LOC100652032,LOC100652039,LOC100652215,LOC100652275,NC_015762.1_411,NC_015771.1_11825,NC_015778.1_18507,NW_003565985.1_26226,NC_015769.1_10192,NC_015778.1_18720,NC_015765.1_5591,NC_015770.1_10730,bte-mir-1_MI0001575,bte-mir-9a_MI0001596,bte-bantam_MI0001574_,bte-mir-125_MI0001578,bte-mir-279b_MI0016201,rna5318_UTR3_UTR3,rna20318_UTR3_UTR3,rna9396_UTR3_UTR3,rna1714_UTR3_UTR3,rna11210_UTR5_UTR5,rna20318_UTR5_UTR5,rna5436_UTR5_UTR5,rna3505_UTR5_UTR5,rnd-4_family-489_4_374_TE,rnd-5_family-1522_1806_5325_TE,rnd-5_family-1522_3822_4408_TE,rnd-5_family-1739_1091_2514_TE
LOC100642539,0.878113267,0.675238377,0.719524681,-0.171854816,-0.223921424,0.355102063,0.801513548,-0.005008136,0.747582626,0.900286914,0.730535406,-0.044476686,0.848744185,0.271581744,-0.029219715,0.265637306,0.776346137,0.751916972,-0.427087668,-0.83000354,-0.126822165,0.784687522,-0.257863588,0.74874761,-0.052843394,0.866478878,-0.167603243,0.835052608,-0.196249641,0.88890679,-0.392163344,-0.343337115,-0.104257157,0.877073636,0.711271156,0.870552931,-0.232469864,-0.023619859,-0.28323946,0.891850346,-0.176474008,-0.201353606,-0.473552413,0.817993425,0.103667345,0.792501119,0.279359181,0.302151195,-0.053154656,0.70794357,-0.378616244,-0.153940662,-0.193158715,0.248756025,-0.137338373,0.787545615,-0.211241459,0.786673271,0.870882958,-0.193285371,-0.189925412,0.723304214,-0.187615707,-0.839052228,-0.219187958,0.054437683,0.173803918,-0.181422559,0.13214849,-0.300713527,0.418165762,-0.392691831,0.039878236,0.915349072,-0.736875664,0.849840563,0.394941427,0.521189176,0.241619878,-0.533544996,-0.208348964,-0.412266972,-0.436916623,0.163382976,0.23298024,0.186914493,0.281878252,0.423195873,0.845323171,0.162492266,0.68178279,0.504697607,0.796454679,0.207094229,0.298062324,0.530802067,-0.172921484,-0.816101329,-0.797027709,-0.267209174
LOC100642557,0.675238377,0.961338751,0.95014391,0.485709536,0.441138097,-0.316211002,0.913091512,0.637643028,0.778554119,0.725535325,0.895251024,0.60395094,0.770272472,-0.354975017,0.621836702,-0.410600051,0.803976081,0.927900286,0.243364009,-0.689204912,0.531693749,0.899753658,0.426400144,0.947526378,0.606999784,0.791400435,0.481640019,0.841078468,0.461594602,0.729541419,0.286854024,0.342992186,0.555881339,0.749873629,0.888145859,0.793746876,0.438361878,0.614795129,0.393558242,0.743028091,0.476313611,0.44976237,0.195468019,0.890810252,-0.548611967,0.893406364,-0.368123934,-0.363943361,0.570497177,0.918992225,0.295199572,0.517057857,0.442129334,-0.324808518,0.54335568,0.838041468,0.470176522,0.870108207,0.822739924,0.474419373,0.441413347,0.974794709,0.479590087,-0.622999778,0.409782464,-0.557949197,-0.491617717,0.44892264,-0.541931288,0.362045503,-0.190742701,0.262534728,0.637106368,0.693515556,-0.803145566,0.718107919,0.842290541,0.846137163,-0.419882049,-0.212575578,-0.451408546,-0.395257822,-0.699263879,-0.522095748,-0.453593122,-0.489424786,-0.403484954,0.867096823,0.852418685,-0.518614391,0.912608095,0.881115979,0.874402664,-0.483050713,-0.383856077,0.791462484,0.505160703,-0.464242906,-0.531543702,0.405928638
LOC100642571,0.719524681,0.95014391,0.945813874,0.413804191,0.367070912,-0.237989832,0.923141613,0.571733371,0.795409665,0.767537167,0.897961183,0.536392818,0.80103937,-0.283571922,0.55441821,-0.334271369,0.821944123,0.930029941,0.163302724,-0.72584898,0.4608973,0.908996025,0.349458195,0.947238015,0.538049158,0.822295091,0.410700227,0.862830263,0.389007146,0.769663638,0.206851556,0.263549248,0.485523268,0.786386741,0.889095501,0.824927484,0.363474918,0.548820494,0.3167007,0.782150069,0.404773432,0.377726834,0.114308572,0.905269011,-0.479074084,0.904307405,-0.294370688,-0.2876747,0.505242406,0.916355019,0.21609237,0.444257388,0.371933307,-0.259440622,0.470007596,0.85396918,0.394774703,0.882641228,0.850995706,0.400902096,0.371708141,0.968429736,0.406275751,-0.667588481,0.339535803,-0.493813029,-0.418855967,0.379546891,-0.469399198,0.286156745,-0.11721937,0.184953099,0.57704814,0.740739715,-0.816101504,0.754355456,0.80708354,0.826839745,-0.345704896,-0.259718939,-0.432112379,-0.408042103,-0.684116253,-0.447560296,-0.377081332,-0.41519442,-0.325787193,0.832999595,0.874336118,-0.44455028,0.907245975,0.856108795,0.88775929,-0.406866779,-0.30607737,0.779002414,0.431126779,-0.522116598,-0.580066026,0.32987509
LOC100642576,-0.171854816,0.485709536,0.413804191,0.897119918,0.90097331,-0.893030358,0.257865508,0.897496372,0.138355894,-0.129731391,0.323101257,0.900549923,-0.001730842,-0.841102933,0.906164039,-0.911289719,0.137343858,0.341567503,0.882671949,0.09121874,0.904176676,0.260600576,0.923495533,0.373022096,0.915439644,0.005266766,0.886031511,0.114617042,0.894408729,-0.109675713,0.899084288,0.915512385,0.909313953,-0.066228052,0.337644232,0.003370458,0.907953118,0.889209232,0.909834318,-0.094566905,0.889856789,0.884356596,0.874762688,0.205790899,-0.898405405,0.241803781,-0.869359358,-0.89247115,0.864821062,0.384980655,0.893537707,0.918172942,0.863278536,-0.769946778,0.93383423,0.170724235,0.92544752,0.216647115,0.043470261,0.908566186,0.858170417,0.443453356,0.908589907,0.195238522,0.851139174,-0.848914631,-0.907852944,0.857863201,-0.9252505,0.887992438,-0.79779722,0.865768377,0.839723994,-0.193614965,-0.186325344,-0.076025907,0.675415709,0.520409978,-0.893750661,0.380716687,-0.366182693,-0.028657942,-0.422205563,-0.937208864,-0.929887818,-0.921443528,-0.921978094,0.674189934,0.117418063,-0.931211983,0.409292465,0.590244834,0.210222784,-0.938171245,-0.915105661,0.431787766,0.925658843,0.387952065,0.269665658,0.90675807
LOC100642646,-0.223921424,0.441138097,0.367070912,0.90097331,0.907960425,-0.908042347,0.207297378,0.89121442,0.09193998,-0.183453716,0.276364903,0.896642484,-0.053262289,-0.851423801,0.901288848,-0.92073453,0.089188566,0.293397138,0.902131629,0.14095538,0.905243455,0.211034218,0.932378677,0.324813383,0.911931049,-0.047393057,0.889708076,0.063063288,0.899763512,-0.162854099,0.916302579,0.929644911,0.908972663,-0.119006643,0.291971073,-0.049522866,0.915408159,0.884118382,0.920358786,-0.148034925,0.894044003,0.890095108,0.897102208,0.154604087,-0.898108346,0.19190084,-0.879945195,-0.904271543,0.861702825,0.339162212,0.909973988,0.920783916,0.86867405,-0.779403607,0.935322022,0.121643845,0.931484982,0.167282706,-0.00973737,0.913637058,0.863407058,0.396272973,0.913316286,0.24476136,0.858204523,-0.845991038,-0.911745943,0.862585719,-0.926486101,0.899738387,-0.81733791,0.883263246,0.831140049,-0.247783217,-0.140207649,-0.127078737,0.646474555,0.484939289,-0.901865603,0.410325008,-0.350842524,-0.003410711,-0.39257339,-0.940253577,-0.937212891,-0.926032999,-0.932330782,0.643541885,0.065220024,-0.93424661,0.364884356,0.555263207,0.160311495,-0.943863476,-0.926491637,0.396383624,0.929367587,0.434666907,0.316090182,0.916331595
LOC100642686,0.355102063,-0.316211002,-0.237989832,-0.893030358,-0.908042347,0.929029946,-0.071414179,-0.857060496,0.030823011,0.3197557,-0.149086183,-0.868566573,0.186454799,0.861319591,-0.870598904,0.926964567,0.038051137,-0.162042429,-0.934824828,-0.267721619,-0.889955277,-0.077686367,-0.936912994,-0.192731738,-0.884589113,0.183642483,-0.881529272,0.072509045,-0.895756299,0.298150093,-0.942873423,-0.947910072,-0.889941593,0.254136185,-0.167150832,0.186338128,-0.916560528,-0.853209278,-0.929409167,0.28438128,-0.887109062,-0.887280597,-0.937398672,-0.018160716,0.879409349,-0.058057964,0.889962062,0.916967185,-0.83638038,-0.213021585,-0.934633757,-0.909208682,-0.865393459,0.788485735,-0.920530384,0.008653793,-0.928623245,-0.035334219,0.148165566,-0.908613269,-0.859817674,-0.265444208,-0.907401389,-0.368898745,-0.859483334,0.82148929,0.90369117,-0.857673277,0.91121378,-0.912382664,0.851934535,-0.911214081,-0.792187716,0.383963047,0.017258251,0.257551022,-0.558171001,-0.382848284,0.905007514,-0.479274407,0.303874223,-0.062434308,0.307537052,0.929419781,0.937591458,0.919507604,0.940694675,-0.550849868,0.072073919,0.923506429,-0.241904711,-0.453042789,-0.02707735,0.939855244,0.937664114,-0.296233448,-0.920481068,-0.54769832,-0.430731862,-0.922984849
LOC100642694,0.801513548,0.913091512,0.923141613,0.257865508,0.207297378,-0.071414179,0.930788502,0.426021911,0.819092683,0.844068939,0.89066258,0.387752918,0.853655617,-0.130559075,0.405809558,-0.170254169,0.847564736,0.921058082,-0.006033595,-0.791807489,0.306592191,0.91516227,0.183942889,0.932974792,0.386481073,0.874871229,0.25682013,0.895752826,0.23200345,0.842244477,0.037009814,0.094056759,0.331777291,0.851198997,0.878252918,0.878062059,0.202043471,0.403303977,0.151833893,0.852464651,0.24972661,0.222036952,-0.056611515,0.922368658,-0.327131761,0.914000711,-0.136300464,-0.124454737,0.361855802,0.897638313,0.047984576,0.286012556,0.220163582,-0.11936322,0.310249233,0.874872454,0.231818002,0.896050783,0.897654094,0.241787547,0.220965353,0.941187095,0.247506966,-0.750957114,0.188127734,-0.352924298,-0.261058248,0.229378184,-0.311351501,0.123751025,0.037816317,0.020476252,0.443464149,0.828549985,-0.831352811,0.81907579,0.722013143,0.774666471,-0.186010163,-0.354298345,-0.385634778,-0.428820736,-0.642656526,-0.285649231,-0.212064791,-0.254386468,-0.159036918,0.749870029,0.9074382,-0.283665689,0.88297739,0.79160472,0.902812794,-0.242104448,-0.139442539,0.741779509,0.270498755,-0.63529138,-0.672901194,0.166495133
LOC100642730,-0.005008136,0.637643028,0.571733371,0.897496372,0.89121442,-0.857060496,0.426021911,0.930838127,0.291289912,0.043105705,0.47973542,0.926213755,0.165823219,-0.819641359,0.935055753,-0.893686893,0.29591973,0.503130723,0.832089271,-0.069211122,0.913716657,0.425538593,0.907894849,0.535162587,0.940020676,0.176590961,0.886823466,0.283917638,0.88986369,0.061681063,0.85602669,0.882725985,0.923506854,0.10445372,0.491030153,0.175426708,0.896772969,0.918558322,0.888699534,0.077949139,0.889043162,0.878419053,0.814701047,0.375210002,-0.912297518,0.407565911,-0.84744266,-0.866937276,0.887404372,0.539520106,0.852943388,0.922892616,0.858153146,-0.750271254,0.942431797,0.332788774,0.919129004,0.380296004,0.217125578,0.905148116,0.853488184,0.603263098,0.906292457,0.037000556,0.840408862,-0.870636104,-0.908255023,0.854848463,-0.934544685,0.862571174,-0.74572994,0.821332014,0.879720558,-0.020246871,-0.338979738,0.088902763,0.779249365,0.643247324,-0.880220187,0.289908853,-0.421337102,-0.111173628,-0.524643252,-0.940791913,-0.919445915,-0.919776237,-0.901576659,0.783556732,0.288854157,-0.934741548,0.559595338,0.712496531,0.375557682,-0.933158479,-0.891245116,0.553133625,0.926916304,0.241618353,0.122574172,0.888671469
LOC100642771,0.747582626,0.778554119,0.795409665,0.138355894,0.09193998,0.030823011,0.819092683,0.291289912,0.730300344,0.781777597,0.775592117,0.256148502,0.776768955,-0.028551904,0.271972708,-0.057134644,0.756310351,0.801262606,-0.100167332,-0.730103572,0.181926355,0.804583894,0.06827824,0.808729486,0.253394362,0.795318527,0.138594279,0.802585536,0.115119604,0.777966615,-0.062770543,-0.012636218,0.204286575,0.781452327,0.762742931,0.798424678,0.086411744,0.271511976,0.040533555,0.785643436,0.131730886,0.107131159,-0.145330449,0.81701873,-0.201230556,0.805543415,-0.030744048,-0.017488761,0.236421911,0.775300645,-0.052191693,0.161703464,0.107687833,-0.025999324,0.182072048,0.777572095,0.111621571,0.79191249,0.811946601,0.122501766,0.10896513,0.808645637,0.127702262,-0.7040989,0.079846452,-0.230002967,-0.140109115,0.116651361,-0.183995518,0.017328985,0.11997659,-0.074237791,0.313354245,0.774512148,-0.736308195,0.753280317,0.584378718,0.648904696,-0.073349409,-0.363147514,-0.311539696,-0.387030695,-0.53934702,-0.159331083,-0.093175497,-0.132581924,-0.045783671,0.609852025,0.812915448,-0.158169871,0.759355613,0.656822943,0.798753088,-0.119614513,-0.028695532,0.628492862,0.146787363,-0.619547178,-0.641073575,0.054201073
LOC100643532,0.900286914,0.725535325,0.767537167,-0.129731391,-0.183453716,0.3197557,0.844068939,0.043105705,0.781777597,0.925520589,0.774061282,0.002389186,0.879021075,0.236040975,0.018494175,0.226107177,0.811515876,0.797201573,-0.394874488,-0.854794627,-0.082707652,0.826788009,-0.217398519,0.795611332,-0.005475706,0.897766888,-0.125924339,0.871100102,-0.155145004,0.914812426,-0.357817365,-0.306360048,-0.059058787,0.904893713,0.754890249,0.901884682,-0.191932465,0.023382092,-0.244417489,0.918674294,-0.134906686,-0.160972492,-0.443427435,0.858336442,0.059034845,0.833869766,0.242576267,0.264940218,-0.008521821,0.753990703,-0.344083973,-0.110043393,-0.153618551,0.216227314,-0.092004323,0.82491225,-0.169003109,0.826479738,0.904384234,-0.151312873,-0.150544414,0.773047321,-0.145439059,-0.858569936,-0.181232382,0.010706662,0.131172706,-0.141753839,0.087090613,-0.263692101,0.390200328,-0.360157446,0.086489563,0.937684219,-0.773268685,0.876158969,0.445416531,0.567841071,0.202174102,-0.532150626,-0.235507957,-0.428560879,-0.475268807,0.118799277,0.191280827,0.144021117,0.242354134,0.47461603,0.881888888,0.11819938,0.728202015,0.554517113,0.836265463,0.164022836,0.259487106,0.573029294,-0.129300587,-0.824428151,-0.811036861,-0.227979131
