NC_015762.1_411;NC_015777.1_18125;NC_015768.1_8751;NC_015771.1_11825;NC_015772.1_14283;NC_015773.1_14909;NC_015778.1_18507;NC_015775.1_15859;NW_003565985.1_26226;NC_015777.1_17843;NC_015769.1_10192;NC_015770.1_11556;NC_015773.1_15238;NC_015778.1_18720;NW_003566858.1_37709;NC_015765.1_5591;NC_015770.1_10730;NW_003566135.1_29581;NC_015769.1_10121;NC_015762.1_1236;NC_015771.1_11678;bte-mir-1_MI0001575;MC65_None;bte-mir-9a_MI0001596;bte-bantam_MI0001574_;bte-mir-125_MI0001578;bte-mir-279b_MI0016201;MC37_None
LOC100642360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100642410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100642443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100642473;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100642506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100642539;0.858366314407685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100642557;0;0;0;0.841984299252542;0;0;0.847567242583645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.869604076881621;0
LOC100642571;0;0;0;0.801493426375904;0;0;0.866639487723212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.848651664838396;0
LOC100642576;0;0;0;0;0;0;0;0;-0.900016512034872;0;0;0;0;0;0;0;0;0;0;0;0;-0.941334016858708;0;-0.922713246760628;-0.936740109061757;-0.904639282554465;0;0
LOC100642646;0;0;0;0;0;0;0;0;-0.899366675612822;0;0;0;0;0;0;0;0;0;0;0;0;-0.939640530134722;0;-0.938904755238734;-0.924878461160006;-0.934316447057443;0;0
LOC100642686;0;0;0;0;0;0;0;0;0.898168364907132;0;0;0;0;0;0;0;0;0;0;0;0;0.932305195867178;0;0.942713080063247;0.922187636069382;0.938934587629944;0;0
LOC100642694;0.820808314675204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100642730;0;0;0;0;0;0;0;0;-0.881980018329496;0;0;0;0;0;0;0;0;0;0;0;0;-0.935010603024746;0;-0.911152176938044;-0.930849800600292;-0.893385297830808;0.803415740384358;0
LOC100642771;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100642878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100643297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100643320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100643352;0;0;0;0;0.849150342692882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100643497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100643527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100643532;0.903699058135731;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100643580;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.833269568895296;0;0;0;0;0;0;0;0;0
LOC100643590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100643625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100643660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100643673;0;0;0;0;0;0;0;0;-0.874068364481342;0;0;0;0;0;0;0;0;0;0;0;0;-0.941558036458533;0;-0.931033513356697;-0.926945966551526;-0.910403760007513;0;0
LOC100643686;0.813092387967205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100643709;0;0;0;0;0;0;0;0;0.845863515348257;0;0;0;0;0;0;0;0;0;0;0;0;0.874506626862342;0;0.879741968265204;0.862228365931665;0.882134483611017;0;0
LOC100643792;0;0;0;0;0;0;0;0;-0.87567228904639;0;0;0;0;0;0;0;0;0;0;0;0;-0.939595051911712;0;-0.932731580491437;-0.933123994906243;-0.917643753045023;0.813101750358422;0
LOC100643843;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100643926;0;0;0;0;0;0;0;0;0.903432388546018;0;0;0;0;0;0;0;0;0;0;0;0;0.953087823312274;0;0.965141281555841;0.92225015492692;0.963549305314754;0;0
LOC100644207,LOC100644326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100644369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100644439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100644462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100644542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100644650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100644663;0;0;0;0;0;0;0.819130252894428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.809985307637416;0
LOC100644757;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100644777,LOC100648533;0;0;0;0;0;0;0;0;-0.914919773296511;0;0;0;0;0;0;0;0;0;0;0;0;-0.914964155783561;0;-0.920321324719114;-0.912409023247127;-0.933937718517868;0;0
LOC100644917;-0.809265675890327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100644943;0;0;0;0;0;0;0;0;-0.894018935157407;0;0;0;0;0;0;0;0;0;0;0;0;-0.939069439525108;0;-0.930415108536074;-0.934017033011431;-0.921502936922197;0;0
LOC100645186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100645337;0.849516554309609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100645422,LOC100647236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100645719,LOC100646150;0;0;0;0;0;0;0;0;-0.943489783380782;0;0;0;0;0;0;0;0;0;0;0;0;-0.962803554263895;0;-0.947693373679098;-0.959919786727442;-0.945309607937281;0;0
LOC100645722;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100645760;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100646006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100646019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100646048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100646236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100646242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100646253;0;0;0;0;0;0;0.860344375545802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.825012448313197;0
LOC100646403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100646427;0;0;0;0;0;0;0;0;-0.910999615677778;0;0;0;0;0;0;0;0;0;0;0;0;-0.955955591827519;0;-0.932059446237432;-0.942553672199737;-0.920694451697392;0;0
LOC100646570;0.84606270881539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100646731;0;0;0;0;0;0;0;0;-0.907777651868028;0;0;0;0;0;0;0;0;0;0;0;0;-0.92248651805381;0;-0.893675395792637;-0.928030625232673;-0.888333442089838;0;0
LOC100646937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100647027,LOC100650883;0.845145292557387;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100647030;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
