NC_015762.1_411;NC_015777.1_18125;NC_015768.1_8751;NC_015771.1_12324;NC_015765.1_6073;NC_015772.1_14283;NC_015775.1_15859;NW_003565985.1_26226;NC_015776.1_17019;NC_015762.1_1265;NC_015777.1_17856;NC_015769.1_10192;NW_003566384.1_33820;NC_015772.1_14088;NC_015767.1_7711;NC_015771.1_11753;NC_015767.1_7794;NC_015763.1_1766;NC_015771.1_11899;NC_015773.1_14613;NC_015776.1_17233;NC_015779.1_19264;NW_003566135.1_29581;NC_015771.1_11678;MC65_None;bte-mir-2788_MI0016140;bte-mir-3715_MI0016227;MC37_None
Argk;0;0;0;0;0;0;0;-0.821623153637825;0;0;-0.861802588974513;0;0;0;-0.904499865018905;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100642226;0;0;0;0;0;0;0;0.835791787034406;0;0;0.871851069419316;0;0;0;0.90006384905082;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100642278;0;0;0;0;0;0;0;0.842698168852408;0;0;0.87502610644402;0;0;0;0.880476018754853;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100642303,LOC100648115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100642438;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100642442;0;0;0;0;0;0;0;0.850164852455715;0;0;0.913276440054644;0;0;0;0.927089465758027;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100642506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100642761;0;0;0;0;0;0;0;0.816446093150434;0;0;0.83305905699628;0;0;0;0.903622604310885;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100642810;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100642814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100642962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100643149;0;0;0;0;0;0;0;-0.821593417563036;0;0;-0.914234521942326;0;0;0;-0.892790968246994;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100643245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100643253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100643312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100643320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100643324;0;0;0;0;0;0;0;-0.852828493656512;0;0;-0.925677765755056;0;0;0;-0.87805078634664;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100643448,LOC100643573;0;0;0;0;0;0;0;-0.857573976033806;0;0;-0.91864097926539;0;0;0;-0.920664332231191;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100643490,LOC100643615;0;0;0;0;0;0;0;-0.808744735066071;0;0;-0.892964292268803;0;0;0;-0.875454692680777;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100643909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100643917;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100644207,LOC100644326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100644244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100644329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100644380;0;0;0;0;0;0;0;0.842251271996861;0;0;0.870992988964612;0;0;0;0.926933239645087;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100644460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100644462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100644679,LOC100644803;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
