rna2133_UTR3_UTR3;rna20859_UTR3_UTR3;rna16_UTR3_UTR3;rna21618_UTR3_UTR3;rna2299_UTR3_UTR3;rna6728_UTR3_UTR3;rna16769_UTR3_UTR3;rna273_UTR3_UTR3;rna7690_UTR3_UTR3;rna5634_UTR3_UTR3;rna279_UTR3_UTR3;rna19916_UTR3_UTR3;rna9972_UTR3_UTR3;rna15817_UTR3_UTR3;rna8556_UTR3_UTR3;rna3209_UTR3_UTR3;rna5958_UTR3_UTR3;rna2029_UTR3_UTR3;rna9124_UTR3_UTR3;rna9716_UTR3_UTR3;rna8839_UTR5_UTR5;rna18677_UTR5_UTR5;rna671_UTR5_UTR5;rna280_UTR5_UTR5;rna14392_UTR5_UTR5;rna20568_UTR5_UTR5;rna2381_UTR5_UTR5;rna13724_UTR5_UTR5;rna10494_UTR5_UTR5;rna8557_UTR5_UTR5;rna17516_UTR5_UTR5;rna6384_UTR5_UTR5;rna16381_UTR5_UTR5;rna5527_UTR5_UTR5;rna1832_UTR5_UTR5;rna15369_UTR5_UTR5;rna3217_UTR5_UTR5;rna7413_UTR5_UTR5;rna21083_UTR5_UTR5;rna3643_UTR5_UTR5;rna17637_UTR5_UTR5;rna9512_UTR5_UTR5;rna10641_UTR5_UTR5;rna11430_UTR5_UTR5;rna20370_UTR5_UTR5;rna6969_UTR5_UTR5;rna12379_UTR5_UTR5;rna3418_UTR5_UTR5;rna9717_UTR5_UTR5;rnd-4_family-114_117_2727_TE;rnd-3_family-174_1_1050_TE;rnd-5_family-825_2636_3489_TE;rnd-6_family-1555_1_572_TE;rnd-4_family-430_1_498_TE;rnd-4_family-113_1_1109_TE;rnd-4_family-505_1_509_TE;rnd-6_family-2166_442_1146_TE;rnd-5_family-826_1_1353_TE;rnd-5_family-1703_1_1606_TE;rnd-4_family-430_1_571_TE;rnd-5_family-281_302_820_TE;rnd-3_family-470_238_741_TE;rnd-6_family-417_52_649_TE;rnd-4_family-430_1_615_TE;rnd-4_family-344_7_537_TE;rnd-5_family-1739_1_3446_TE;rnd-4_family-430_1_576_TE;rnd-4_family-444_1_599_TE;rnd-5_family-825_1_322_TE;rnd-4_family-114_2_1745_TE;rnd-5_family-1522_1806_5325_TE;Gypsy-19_RP-I_1033_3957_TE;rnd-4_family-113_2_2054_TE;rnd-5_family-1159_1_702_TE;rnd-6_family-1476_1957_4172_TE;rnd-6_family-818_1_1483_TE;rnd-5_family-825_799_1419_TE;rnd-6_family-1476_43_1685_TE;rnd-5_family-1549_241_1123_TE;rnd-4_family-114_2_1312_TE;Copia-22_NVi-I_380_1165_TE;rnd-4_family-114_630_1136_TE;rnd-3_family-174_417_954_TE;rnd-4_family-430_1_862_TE;BOTMAR1_1_975_TE
NC_015762.1_411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_015777.1_18125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_015768.1_8751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_015771.1_12324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_015765.1_6073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_015772.1_14283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_015775.1_15859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NW_003565985.1_26226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.808448839152648;0;0;-0.865351815583179;0;0;0;0;0;-0.872372833088751;0;0;-0.813862478643375;0;0;0;0;0;0;0
NC_015776.1_17019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_015762.1_1265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_015777.1_17856;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.85835926234525;0;0;-0.903423313623295;0;-0.834039119272795;0;0;0;-0.941257303153257;0;0;-0.853836394619335;0;0;0;0;0;0;0
NC_015769.1_10192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NW_003566384.1_33820;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_015772.1_14088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_015767.1_7711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.849246484084092;0;0;-0.938850852670895;0;-0.820246257343732;0;0;0;-0.911782965302273;0;0;-0.895314013449125;0;0;0;0;0;0;0
NC_015771.1_11753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_015767.1_7794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_015763.1_1766;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_015771.1_11899;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
