"","LOC","RefSeq","Description","RefSeq_short"
"1","LOC100648268","XM_012316587.1","PREDICTED: Bombus terrestris odorant receptor 13a-like (LOC100648268) partial ","XM_012316587"
"2","LOC100650023","XM_012316241.1","PREDICTED: Bombus terrestris probable E3 ubiquitin-protein ligase bre1 (LOC100650023) transcript variant X2","XM_012316241"
"3","LOC100650023","XM_012310530.1","PREDICTED: Bombus terrestris probable E3 ubiquitin-protein ligase bre1 (LOC100650023) transcript variant X1","XM_012310530"
"4","LOC100650023","XM_003392871.2","PREDICTED: Bombus terrestris probable E3 ubiquitin-protein ligase bre1 (LOC100650023) transcript variant X6","XM_003392871"
"5","LOC100650023","XM_012307672.1","PREDICTED: Bombus terrestris probable E3 ubiquitin-protein ligase bre1 (LOC100650023) transcript variant X5","XM_012307672"
"6","LOC100650023","XM_012308785.1","PREDICTED: Bombus terrestris probable E3 ubiquitin-protein ligase bre1 (LOC100650023) transcript variant X7","XM_012308785"
"7","LOC100650023","XM_012320313.1","PREDICTED: Bombus terrestris probable E3 ubiquitin-protein ligase bre1 (LOC100650023) transcript variant X3","XM_012320313"
"8","LOC100650023","XM_012320868.1","PREDICTED: Bombus terrestris probable E3 ubiquitin-protein ligase bre1 (LOC100650023) transcript variant X4","XM_012320868"
"9","LOC100650139","XM_003392872.2","PREDICTED: Bombus terrestris rho-associated protein kinase 2 (LOC100650139)","XM_003392872"
"10","LOC100650265","XM_012309634.1","PREDICTED: Bombus terrestris BTB/POZ domain-containing protein 1-like (LOC100650265)","XM_012309634"
"11","LOC100650388","XM_012320493.1","PREDICTED: Bombus terrestris protein O-mannosyltransferase 1 (LOC100650388) transcript variant X1","XM_012320493"
"12","LOC100650388","XM_012320538.1","PREDICTED: Bombus terrestris protein O-mannosyltransferase 1 (LOC100650388) transcript variant X2","XM_012320538"
"13","LOC100650511","XM_012320314.1","PREDICTED: Bombus terrestris ATPase WRNIP1-like (LOC100650511) transcript variant X3","XM_012320314"
"14","LOC100650511","XM_003392875.1","PREDICTED: Bombus terrestris ATPase WRNIP1-like (LOC100650511) transcript variant X4","XM_003392875"
"15","LOC100650511","XM_012320415.1","PREDICTED: Bombus terrestris ATPase WRNIP1-like (LOC100650511) transcript variant X5","XM_012320415"
"16","LOC100650511","XM_012320192.1","PREDICTED: Bombus terrestris ATPase WRNIP1-like (LOC100650511) transcript variant X1","XM_012320192"
"17","LOC100650511","XM_012320251.1","PREDICTED: Bombus terrestris ATPase WRNIP1-like (LOC100650511) transcript variant X2","XM_012320251"
"18","LOC105666912","XM_012319765.1","PREDICTED: Bombus terrestris UPF0585 protein C16orf13 homolog (LOC105666912)","XM_012319765"
"19","LOC100650629","XM_012318962.1","PREDICTED: Bombus terrestris dnaJ homolog subfamily C member 21 (LOC100650629)","XM_012318962"
"20","LOC100650754","XM_012311348.1","PREDICTED: Bombus terrestris WD repeat-containing protein 7 (LOC100650754) transcript variant X1","XM_012311348"
"21","LOC100650754","XM_012312495.1","PREDICTED: Bombus terrestris WD repeat-containing protein 7 (LOC100650754) transcript variant X3","XM_012312495"
"22","LOC100650754","XM_012313060.1","PREDICTED: Bombus terrestris WD repeat-containing protein 7 (LOC100650754) transcript variant X4","XM_012313060"
"23","LOC100650754","XM_012317619.1","PREDICTED: Bombus terrestris WD repeat-containing protein 7 (LOC100650754) transcript variant X12","XM_012317619"
"24","LOC100650754","XM_012311965.1","PREDICTED: Bombus terrestris WD repeat-containing protein 7 (LOC100650754) transcript variant X2","XM_012311965"
"25","LOC100650754","XM_012315964.1","PREDICTED: Bombus terrestris WD repeat-containing protein 7 (LOC100650754) transcript variant X9","XM_012315964"
"26","LOC100650754","XM_012316518.1","PREDICTED: Bombus terrestris WD repeat-containing protein 7 (LOC100650754) transcript variant X10","XM_012316518"
"27","LOC100650754","XM_012313612.1","PREDICTED: Bombus terrestris WD repeat-containing protein 7 (LOC100650754) transcript variant X5","XM_012313612"
"28","LOC100650754","XM_012314804.1","PREDICTED: Bombus terrestris WD repeat-containing protein 7 (LOC100650754) transcript variant X7","XM_012314804"
"29","LOC100650754","XM_012315382.1","PREDICTED: Bombus terrestris WD repeat-containing protein 7 (LOC100650754) transcript variant X8","XM_012315382"
"30","LOC100650754","XM_003392877.2","PREDICTED: Bombus terrestris WD repeat-containing protein 7 (LOC100650754) transcript variant X11","XM_003392877"
"31","LOC100650754","XM_012314213.1","PREDICTED: Bombus terrestris WD repeat-containing protein 7 (LOC100650754) transcript variant X6","XM_012314213"
"32","LOC100650754","XM_012318198.1","PREDICTED: Bombus terrestris WD repeat-containing protein 7 (LOC100650754) transcript variant X13","XM_012318198"
"33","LOC100650872","XM_012320742.1","PREDICTED: Bombus terrestris hrp65 protein-like (LOC100650872) transcript variant X3","XM_012320742"
"34","LOC100650872","XM_003392878.2","PREDICTED: Bombus terrestris hrp65 protein-like (LOC100650872) transcript variant X2","XM_003392878"
"35","LOC100650872","XM_012320630.1","PREDICTED: Bombus terrestris hrp65 protein-like (LOC100650872) transcript variant X1","XM_012320630"
"36","LOC100651113","XM_003392880.2","PREDICTED: Bombus terrestris growth hormone-inducible transmembrane protein-like (LOC100651113) transcript variant X1","XM_003392880"
"37","LOC100651113","XM_012320892.1","PREDICTED: Bombus terrestris growth hormone-inducible transmembrane protein-like (LOC100651113) transcript variant X2","XM_012320892"
